День недели;Пара;Час;2КСК10;Ауд.;2КСК11;Ауд.;2ПКС11;Ауд.;2ПКС12;Ауд.;2АК7;Ауд.;2Ф7;Ауд.;2Т11;Ауд.;2Т12;Ауд.;2ОДЛ7;Ауд.;2ИД2;Ауд.;2Д4;Ауд.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Понедельник;1;8.00 - 9.30;"Прикладная электроника
Соловьев В.И.";акт.з.;"Прикладная электроника
Соловьев В.И.";акт.з.;;;;;"ОППиРРК
Мизерак М.В.";5.3;"Основы финансового планирования в гос. учреждениях
Цыкунов И.А.";6.9;;;;;;;"Технология комплексной работы с текстом
Костенко И.В.";4.7;"Информационное обеспечение проф. деятельности
Доброван Л.П.";107А;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2;9.50 — 11.20;"Основы электроники
Соловьев В.И.";акт.з.;"Основы электроники
Соловьев В.И.";акт.з.;;;;;"Физика
Притуленко А.С.";5.3;"Основы орг. и фукнц. бюдж. системы РФ
Цыкунов И.А.";6.9;;;"Инф.-комм. технологии в проф. деятельности
Доброван Л.П.";107А;;;"Технология комплексной работы с текстом
Костенко И.В.";4.10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;3;11.30 — 13.00;"История
Голоднюк Е.А.";2.7;"Иностранный язык
Лаврова К.В.
Кондратенко Е.А.";"2.2
2.1";;;;;;;"Основы орг. и фукнц. бюдж. системы РФ
Цыкунов И.А.";4.3;"Иностранный язык
Тихонравова Н.В.
Беленькая Е.Р.";"4.8
4.7";;;"Менеджмент
Малюга П.А.";;"Основы философии
Беленькая А.С.";6.4;"Основы философии
Беленькая А.С.";6.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;4;13.20 — 14.50;"Русский язык  и культура речи
Рудницкая Е.С.";5.4;"Физическая культура
Бородина К.А.";с.з.;"Элементы математической логики
Старков П.А.";;"Элементы математической логики
Старков П.А.";;"Аналитическая химия
Велим В.А.
Рюш И.О.";;;;"Основы философии
Беленькая А.С.";6.6;"Основы философии
Беленькая А.С.";6.6;"Основы управления и орг. лог. процесса в организациях
Малюга П.А.";;;;"История
Голоднюк Е.А.";5.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;5;15.00 — 16.30;;;"Русский язык  и культура речи
Малько О.Р.";5.4;"Элементы математической логики
Старков П.А.";423А;"Элементы математической логики
Старков П.А.";423А;"Общая и неорганическая химия
Рюш И.О.";;;;"Безопасность жизнедеятельности
Старостин В.А.";6.4;"Безопасность жизнедеятельности
Старостин В.А.";6.4;"Оценка рентабельности
Чепоров В.В.";;;;"Экологические основы природопользования
Клочкова Г.А.";5.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;6;16.40 — 18.10;;;;;"Элементы мат. логики
Старков П.А.";321Б;"Элементы мат. логики
Старков П.А.";321Б;;;;;;;;;"ОПТиПОСЗНХТЗ
Чепоров В.В.";;;;"Основы проектной и компьютерной графики
Нелина Н.И.";6.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
