День недели;Пара;Час;3КСК8;Ауд.;3КСК9;Ауд.;3ПКС9;Ауд.;3ПКС10;Ауд.;3АК6;Ауд.;3Ф6;Ауд.;3Т9;Ауд.;3Т10;Ауд.;3ОДЛ6;Ауд.;3ИД1;Ауд.;3Д3;Ауд.;3ПП3;Ауд.
Суббота;1;8.00 — 9.30;"Проектирование цифровых устройств
Соловьев В.И.";5.2;;;"Дискретная математика
Степанова Е.И.";6.4;"Дискретная математика
Степанова Е.И.";6.4;"Иностранный язык
Беленькая Е.Р.
Тихонравова Н.В.";"4.8
4.7";"Физическая культура
Гордиенко В.А.";с.з;;;"Информатика
Ислямов Р.И.";5.6;"Физическая культура
Гордиенко В.А.";с.з;;;;;"Основы управления производством пол. продукции
Чудинович Л.М.";5.3
;2;9.50 — 11.20;"Иностранный язык
Лаврова К.В.
Кондратенко Е.А.";"4.10
5.4";"Проектирование цифровых устройств
Соловьев В.И.";5.2;"Дискретная математика
Степанова Е.И.";6.4;"Дискретная математика
Степанова Е.И.";6.4;"Иностранный язык
Беленькая Е.Р.
Тихонравова Н.В.";"4.8
4.7";"Бухгалтерский учет
Чепоров В.В.";6.3;;;"Информатика
Ислямов Р.И.";5.6;"Экономическая теория
Цыкунов В.И.";6.10;;;;;"Основы управления производством пол. продукции
Чудинович Л.М.";5.3
;3;11.30 — 13.00;"Физическая культура
Гордиенко В.А.";с.з;"Физическая культура
Гордиенко В.А.";с.з;"Дискретная математика
Степанова Е.И.";6.4;"Теория алгоритмов
Ислямов Р.И.";5.1;;;"Политическая экономика
Цыкунов И.А.";6.3;;;;;"ОКиОЭФЛСиО
Чепоров В.В.";6.10;;;;;"Основы рекламной деятельности
Нелина Н.И.";5.3
;4;13.20 — 14.50;;;"Иностранный язык
Лаврова К.В.
Кондратенко Е.А.";"4.10
5.4";"Теория алгоритмов
Ислямов Р.И.";5.1;"Дискретная математика
Степанова Е.И.";6.4;;;"Экономика организации
Цыкунов И.А.";6.3;;;;;"Бухгалтерский учет
Чепоров В.В.";6.10;;;;;"Основы разработки техн. проц. изгот. пол. продукции
Нелина Н.И.";5.3
;5;15.00 — 16.30;;;;;;;;;;;;;;;;;;;;;;;;
;6;16.40 — 18.10;;;;;;;;;;;;;;;;;;;;;;;;
;7;18:20 — 19:50;;;;;;;;;;;;;;;;;;;;;;;;
