День недели;Пара;Час;4КСК7;Ауд.;4ПКС8;Ауд.;4АК4;Ауд.;4Т7;Ауд.;4Т8;Ауд.;4Д2;Ауд.;4ПП2;Ауд.;;;;;;;;;
Понедельник;1;8.00 — 9.30;"Теория вероятностей и мат. статистика
Смирнова Е.В.";5.5;;;;;;;;;;;;;;;;;;;;;
;2;9.50 — 11.20;"Теория вероятностей и мат. статистика
Смирнова Е.В.";6.7;;;;;;;;;;;;;;;;;;;;;
;3;11.30 — 13.00;"Теория вероятностей и мат. статистика
Смирнова Е.В.";6.7;;;;;"Физическая культура
Коваленко Ю.А.";с.з.;;;;;"ОУППП
Чудинович Л.М. ";;;;;;;;;;
;4;13.20 — 14.50;"Иностранный язык
Лаврова К.В.
Кондратенко Е.А.";"4.8
4.3";;;;;"Организация гостиничного хозяйства
Богославская Е.И.";6.4;"Организация гостиничного хозяйства
Богославская Е.И.";6.4;;;"Основы рек. деят.
Голота С.С.";;;;;;;;;;
;5;15.00 — 16.30;;;"Технология разработки прогр. обеспечения
Железняк А.В.";5.6;"Основы кач. и кол. анализа пром. материалов
Поддубов А.И.";;"Управление деятельностью функц. подразд.
Богославская Е.И.";6.3;"Физическая культура
Коваленко Ю.А.";с.з.;;;"Технико-эконом. анализ пол. технологий
Чудинович Л.М.";;;;;;;;;;
;6;16.40 — 18.10;;;"Технология разработки прогр. обеспечения
Железняк А.В.";5.6;"Основы кач. и кол. анализа пром. материалов
Поддубов А.И.";604А;"Страхование
Малюга П.А.";6.3;"Иностранный язык в сфере проф. комм.
Лаврова К.В.
Беленькая Е.Р.";"4.10
4.8";;;"Охрана труда
Пазий Я.Д.";601А;;;;;;;;;
;7;18:20 — 19:50;;;"Технология разработки и защиты баз данных
Железняк А.В.";5.6;"Основы кач. и кол. анализа пром. материалов
Поддубов А.И.";;;;"Страхование
Малюга П.А.";6.3;;;;;;;;;;;;;
